Transaction,Items
945,"Eggs, Cheese, Bread"
946,"Cereal, Butter, Cheese"
947,"Bread, Bread, Eggs"
948,"Eggs, Cheese, Bread, Cereal"
949,"Bread, Bread"
950,"Eggs, Milk, Milk, Cheese"
951,"Bread, Cereal"
952,Eggs
953,"Butter, Eggs"
954,"Bread, Butter"
955,Eggs
956,Butter
957,"Bread, Bread, Cheese, Cheese"
958,"Bread, Milk, Cheese"
959,"Eggs, Eggs, Bread, Bread"
960,"Cereal, Milk, Eggs, Milk"
961,"Cereal, Butter, Cheese"
962,"Milk, Milk"
963,"Bread, Eggs"
964,"Cereal, Cereal"
965,"Eggs, Cheese, Eggs, Butter"
966,"Cheese, Cheese, Butter"
967,"Milk, Bread"
968,"Milk, Milk, Cereal"
969,Eggs
970,"Bread, Eggs, Eggs"
971,Milk
972,"Cereal, Bread, Bread"
973,Milk
974,"Cereal, Cereal"
975,"Eggs, Bread, Bread"
976,Eggs
977,Bread
978,"Bread, Bread"
979,"Bread, Bread, Cheese"
980,"Butter, Eggs"
981,Eggs
982,Cereal
983,"Butter, Cheese, Eggs, Cheese"
984,"Milk, Bread, Milk, Cereal"
985,"Cheese, Cheese"
986,Eggs
987,"Eggs, Cereal, Cereal"
988,"Cereal, Cheese, Butter, Cheese"
989,"Cereal, Eggs, Butter"
990,"Milk, Bread, Bread"
991,"Cheese, Butter, Cheese, Milk"
992,Butter
993,"Bread, Eggs, Bread"
994,"Eggs, Eggs"
995,"Cheese, Milk, Milk"
996,"Eggs, Eggs, Cereal"
997,"Milk, Butter"
998,"Cereal, Milk"
999,Milk
1000,"Eggs, Milk, Cheese, Milk"
